instance,nodes_graph,edges,obj,bound,gap_pct,time_s,time_limit,bb_nodes,lp_iters,lp_iters_strongbr,lp_iters_sep,lp_iters_heur,total_cuts,cut_rounds,sec_cuts,sec_rounds,sec_time,rci_cuts,rci_rounds,rci_time,multistar_cuts,multistar_rounds,multistar_time,rglm_cuts,rglm_rounds,rglm_time,comb_cuts,comb_rounds,comb_time,warmstart_ub,warmstart_time
A-n54-k7-149,54,1431,-12492,-12492,0,51.0187,60,3376,156971,0,19766,15194,2819,553,1584,542,0.099,152,93,0.238,1083,396,0.155,0,0,0,0,0,0.024,-8912,0.514359
A-n60-k9-57,60,1770,-1000,-1000,0,123.451,3600,16746,619399,0,88969,32219,13759,2456,7223,2420,0.575,558,467,0.251,5978,2104,0.428,0,0,0,0,0,0.041,-1000,0.500806
A-n61-k9-80,61,1830,-23549,-23549,0,17.0094,60,685,38087,0,5942,10114,1126,201,555,190,0.045,77,50,0.051,494,172,0.063,0,0,0,0,0,0.005,-15846,0.503459
A-n62-k8-99,62,1891,-35969,-35969,0,9.26541,60,137,13590,0,3488,5564,819,116,348,116,0.048,129,65,0.027,342,114,0.051,0,0,0,0,0,0.003,-22783,0.506103
A-n63-k10-44,63,1953,-32561,-32561,0,16.8813,60,773,42453,0,6984,5545,1148,186,536,180,0.050,137,85,0.089,475,165,0.060,0,0,0,0,0,0.006,-16461,0.503624
A-n63-k9-157,63,1953,-24189,-24189,0,25.3435,60,1083,62436,0,8643,11349,1506,288,774,267,0.088,136,70,0.045,596,219,0.085,0,0,0,0,0,0.009,-24189,0.50411
A-n64-k9-45,64,2016,-50550,-50550,0,26.9133,60,296,28042,0,5073,10853,905,150,426,142,0.068,93,50,0.144,386,132,0.065,0,0,0,0,0,0.017,-46701,0.5043
A-n65-k9-10,65,2080,-42835,-42835,0,17.3372,60,376,28225,0,4464,7312,738,134,379,131,0.034,54,32,0.041,305,105,0.052,0,0,0,0,0,0.008,-42335,0.574303
A-n69-k9-42,69,2346,-43290,-43290,0,5.29682,60,192,8391,0,1491,2171,463,89,230,78,0.024,32,17,0.015,201,67,0.028,0,0,0,0,0,0.002,-32968,0.505172
A-n80-k10-14,80,3160,-105283,-105283,0,9.92588,60,79,7601,0,3475,1372,893,134,396,132,0.091,118,70,0.059,379,128,0.097,0,0,0,0,0,0.007,-64577,0.504597
B-n45-k6-54,45,990,-74278,-74278,0,7.20581,60,259,10492,0,1868,4189,667,114,325,111,0.016,63,42,0.015,279,96,0.024,0,0,0,0,0,0.006,-62086,0.452723
